episode,num_iters,sum_rewards,curr_eps,time
324,1146,-21,0.656019,17023.147360
325,1123,-21,0.655008,17075.928795
326,1175,-21,0.653951,17131.244824
327,1108,-21,0.652954,17186.694582
328,1257,-21,0.651822,17246.452014
329,1110,-21,0.650823,17297.680833
330,1103,-20,0.649831,17351.764322
331,1095,-21,0.648845,17402.882924
332,1134,-21,0.647825,17461.386239
333,1212,-20,0.646734,17516.132857
334,1116,-20,0.645729,17572.039424
335,1115,-20,0.644726,17627.271169
336,1093,-21,0.643742,17680.722563
337,1250,-20,0.642617,17743.958218
338,1205,-20,0.641533,17805.533129
339,1116,-21,0.640528,17859.200864
340,1041,-21,0.639591,17905.334896
341,1034,-21,0.638661,17954.656190
342,1182,-21,0.637597,18009.344997
343,1181,-21,0.636534,18064.873328
344,1207,-21,0.635448,18127.674773
345,1090,-21,0.634467,18180.843257
346,1122,-20,0.633457,18233.937233
347,1121,-21,0.632448,18288.682944
348,1099,-20,0.631459,18341.908109
349,1042,-21,0.630521,18390.898290
350,1049,-21,0.629577,18436.966794
351,1038,-21,0.628643,18488.317113
352,1097,-21,0.627656,18543.456762
353,1245,-21,0.626535,18604.943875
354,1041,-21,0.625598,18659.655134
355,1109,-20,0.624600,18715.206033
356,1055,-21,0.623651,18761.379588
357,1109,-20,0.622653,18807.906948
358,1042,-21,0.621715,18855.531031
359,1099,-21,0.620726,18904.096887
360,1148,-20,0.619692,18962.104556
361,1085,-21,0.618716,19017.819321
362,1094,-21,0.617731,19070.325525
363,1105,-21,0.616737,19127.143868
364,1110,-21,0.615738,19178.983204
365,1105,-21,0.614743,19234.041069
366,1107,-21,0.613747,19288.293371
367,1049,-21,0.612803,19344.935037
368,1194,-20,0.611728,19404.216270
369,1042,-21,0.610791,19452.765498
370,1095,-21,0.609805,19509.240252
371,1101,-21,0.608814,19560.547411
372,1121,-20,0.607805,19611.210724
373,1112,-21,0.606804,19663.029341
374,1107,-21,0.605808,19712.435608
375,1135,-20,0.604787,19765.831802
376,1467,-20,0.603466,19838.858352
377,1101,-21,0.602475,19889.524757
378,1107,-21,0.601479,19942.764751
379,1095,-21,0.600494,19994.608033
380,1043,-21,0.599555,20046.176307
381,1105,-21,0.598560,20100.194575
382,1076,-21,0.597592,20146.591694
383,1053,-21,0.596644,20198.433089
384,1100,-21,0.595654,20246.294375
385,1203,-20,0.594572,20298.551965
386,1090,-21,0.593591,20350.375727
387,1334,-20,0.592390,20415.318232
388,1130,-20,0.591373,20471.705197
389,1114,-20,0.590370,20526.911757
390,1181,-20,0.589307,20584.455700
391,1105,-20,0.588313,20638.393684
392,1124,-20,0.587301,20691.804613
393,1053,-21,0.586354,20743.540671
394,1122,-21,0.585344,20796.215219
395,1091,-21,0.584362,20851.815815
396,1103,-21,0.583369,20909.135856
397,1264,-20,0.582232,20972.988292
398,1097,-21,0.581244,21025.924129
399,1088,-21,0.580265,21076.329529
400,1104,-21,0.579272,21132.709911
401,1197,-21,0.578194,21189.230423
402,1111,-21,0.577194,21240.251157
403,1116,-21,0.576190,21299.806050
404,1050,-21,0.575245,21347.786520
405,1058,-21,0.574293,21399.519433
406,1128,-20,0.573278,21458.958447
407,1049,-21,0.572334,21514.120185
408,1172,-21,0.571279,21571.877352
409,1093,-21,0.570295,21622.563635
410,1097,-21,0.569308,21670.270364
411,1250,-21,0.568183,21729.473358
412,1103,-21,0.567190,21779.158315
413,1125,-21,0.566178,21828.310132
414,1053,-21,0.565230,21881.804196
415,1107,-21,0.564233,21933.299562
416,1075,-21,0.563266,21989.083874
417,1122,-20,0.562256,22048.266520
418,1103,-21,0.561263,22103.001471
419,1066,-21,0.560304,22149.682484
420,1102,-21,0.559312,22200.092032
421,1034,-21,0.558382,22247.446955
422,1098,-21,0.557393,22300.344897
423,1190,-21,0.556322,22361.006820
424,1094,-21,0.555338,22412.454778
425,1104,-21,0.554344,22469.310335
426,1114,-20,0.553342,22526.648183
427,1047,-21,0.552399,22575.863467
428,1096,-21,0.551413,22628.944794
429,1119,-20,0.550406,22685.795146
430,1107,-21,0.549410,22737.073371
431,1093,-21,0.548426,22790.594891
432,1098,-21,0.547438,22844.473301
433,1128,-20,0.546423,22899.635743
434,1099,-21,0.545433,22953.555967
435,1062,-21,0.544478,23002.860700
436,1068,-21,0.543516,23056.105860
437,1039,-21,0.542581,23106.678592
438,1047,-21,0.541639,23157.825297
439,1344,-21,0.540429,23226.555149
440,1056,-21,0.539479,23272.087290
441,1079,-21,0.538508,23321.856242
442,1190,-21,0.537437,23377.127755
443,1099,-21,0.536448,23431.547624
444,1043,-21,0.535509,23484.953096
445,1130,-20,0.534492,23537.092005
446,1249,-21,0.533368,23596.507120
447,1027,-21,0.532444,23645.980996
448,1092,-21,0.531461,23701.840431
449,1102,-21,0.530469,23758.918118
450,1119,-21,0.529462,23817.628666
451,1216,-20,0.528368,23879.360667
452,1132,-20,0.527349,23934.052048
453,1087,-21,0.526370,23988.469900
454,1181,-21,0.525308,24051.368370
455,1026,-21,0.524384,24106.416560
456,1195,-21,0.523309,24168.285385
457,1097,-21,0.522321,24226.105813
458,1240,-20,0.521205,24284.644181
459,1101,-21,0.520215,24336.281094
460,1098,-21,0.519226,24391.427836
461,1038,-21,0.518292,24441.565557
462,1229,-20,0.517186,24501.953521
463,1080,-21,0.516214,24550.952778
464,1094,-21,0.515229,24606.301183
465,1182,-21,0.514166,24664.570638
466,1096,-21,0.513179,24720.395886
467,1114,-21,0.512177,24774.948478
468,1108,-21,0.511179,24831.678636
469,1184,-21,0.510114,24897.202185
470,1130,-20,0.509097,24952.185280
471,1079,-21,0.508126,25009.399276
472,1194,-21,0.507051,25068.798494
473,1115,-20,0.506048,25123.362544
474,1254,-21,0.504919,25181.804267
475,1090,-21,0.503938,25232.116619
476,1107,-21,0.502942,25284.886900
477,1103,-21,0.501949,25334.940824
478,1056,-21,0.500999,25386.674298
479,1094,-21,0.500014,25441.409630
480,1094,-21,0.499029,25499.805390
481,1045,-21,0.498089,25548.134936
482,1182,-21,0.497025,25604.119751
483,1416,-21,0.495751,25667.771304
484,1201,-20,0.494670,25724.794199
485,1100,-21,0.493680,25782.464931
486,1315,-20,0.492496,25848.428459
487,1126,-20,0.491483,25901.702703
488,1060,-21,0.490529,25953.421269
489,1194,-20,0.489454,26013.352149
490,1101,-21,0.488463,26070.078445
491,1209,-20,0.487375,26132.573841
492,1140,-21,0.486349,26193.579861
493,1110,-21,0.485350,26250.141755
494,1174,-21,0.484294,26304.424933
495,1162,-21,0.483248,26360.294052
496,1141,-21,0.482221,26415.907166
497,1214,-20,0.481128,26482.310492
498,1114,-21,0.480126,26536.449106
499,1108,-21,0.479129,26591.530605
500,1103,-21,0.478136,26647.105079
501,1252,-21,0.477009,26707.621544
502,1140,-20,0.475983,26763.625527
503,1105,-21,0.474989,26810.750840
504,1074,-21,0.474022,26860.925065
505,1069,-21,0.473060,26916.665337
506,1096,-21,0.472073,26972.617284
507,1097,-21,0.471086,27027.069438
508,1092,-21,0.470103,27086.983979
509,1275,-19,0.468956,27158.780867
510,1102,-21,0.467964,27214.248797
511,1077,-21,0.466995,27273.103684
512,1304,-21,0.465821,27346.188828
513,1040,-21,0.464885,27395.518898
514,1080,-21,0.463913,27455.382820
515,1043,-21,0.462974,27506.855344
516,1094,-21,0.461990,27555.274883
517,1132,-20,0.460971,27607.436242
518,1223,-20,0.459870,27668.400687
519,1124,-20,0.458859,27723.602370
520,1180,-21,0.457797,27781.651527
521,1044,-21,0.456857,27837.114056
522,1102,-21,0.455865,27900.651319
