episode,num_iters,loss,sum_rewards,curr_eps,debug_param,time
167,1182,0.014306,-20,0.812407,2454984,32496.460108
168,1208,0.012265,-20,0.811319,2469231,32687.919012
169,1106,0.012948,-21,0.810324,2482087,32862.276488
170,1174,0.015300,-21,0.809268,2494695,33037.385086
171,1312,0.014699,-20,0.808087,2508804,33228.436856
172,1212,0.010475,-20,0.806996,2521503,33399.671644
173,1097,0.015382,-21,0.806009,2534021,33567.220843
174,1221,0.014261,-21,0.804910,2548806,33767.931693
175,1242,0.011426,-20,0.803792,2562186,33948.340751
176,1336,0.012396,-21,0.802589,2576737,34149.889497
177,1303,0.011559,-19,0.801417,2592900,34367.564840
178,1285,0.015158,-20,0.800260,2607224,34567.739287
179,1160,0.013798,-20,0.799216,2620418,34744.936717
180,1409,0.013557,-20,0.797948,2636484,34962.801924
181,1051,0.013653,-21,0.797002,2648866,35129.486757
182,1064,0.012491,-21,0.796045,2661069,35295.318467
183,1185,0.013657,-20,0.794978,2673910,35473.058099
184,1008,0.013508,-21,0.794071,2684100,35615.727887
185,1551,0.014758,-19,0.792675,2700736,35840.511731
186,1343,0.015205,-19,0.791466,2715248,36034.825028
187,1296,0.013989,-20,0.790300,2729351,36223.850614
188,1095,0.013969,-21,0.789314,2742576,36402.380972
189,1334,0.015678,-19,0.788114,2758125,36611.493857
190,1193,0.013700,-21,0.787040,2771085,36782.404958
191,1192,0.011430,-21,0.785967,2783365,36947.599115
192,1284,0.011822,-20,0.784812,2796911,37133.197257
193,1024,0.010999,-21,0.783890,2807754,37283.450259
194,1037,0.013126,-21,0.782957,2819165,37440.797949
195,1187,0.013353,-21,0.781889,2833205,37629.611728
196,1060,0.013404,-21,0.780935,2845210,37798.221293
197,1040,0.014109,-21,0.779999,2857314,37964.570214
198,1004,0.012767,-21,0.779095,2869438,38130.463394
199,1289,0.012048,-20,0.777935,2883457,38317.470596
200,1220,0.015051,-20,0.776837,2897386,38502.254398
201,1130,0.011655,-21,0.775820,2909684,38670.249641
202,1203,0.010003,-20,0.774737,2923671,38866.135291
203,1205,0.011641,-21,0.773653,2937699,39058.055063
204,1346,0.012919,-19,0.772441,2953461,39273.092035
205,1128,0.009440,-20,0.771426,2964474,39420.897477
206,1221,0.014432,-20,0.770327,2978289,39608.568079
207,1106,0.010169,-21,0.769332,2992105,39796.024340
208,1180,0.013053,-21,0.768270,3004204,39958.568183
209,1091,0.010865,-21,0.767288,3016533,40127.717837
210,1136,0.012164,-21,0.766266,3029440,40298.111666
211,1388,0.013346,-21,0.765016,3045968,40528.626950
212,1182,0.014815,-21,0.763953,3059847,40718.661133
213,1052,0.012158,-21,0.763006,3071640,40882.082870
214,1365,0.013065,-20,0.761777,3087746,41101.851595
215,1094,0.012617,-21,0.760793,3100718,41276.273357
216,1334,0.015257,-20,0.759592,3115918,41483.740841
217,1143,0.013089,-20,0.758563,3129556,41667.517358
218,1191,0.012525,-20,0.757491,3145231,41879.548731
219,1044,0.009635,-21,0.756552,3157294,42041.820719
220,1172,0.017618,-20,0.755497,3171435,42233.238547
221,1062,0.013686,-21,0.754541,3183727,42403.732110
222,1220,0.014873,-20,0.753443,3197223,42584.246959
223,1260,0.012938,-20,0.752309,3212991,42796.152022
224,1506,0.013741,-20,0.750954,3230556,43035.062705
225,1105,0.012685,-21,0.749959,3241215,43175.030160
226,1172,0.015712,-20,0.748904,3254569,43357.117594
227,1114,0.012349,-21,0.747902,3265515,43506.841391
228,1017,0.013372,-21,0.746987,3276380,43656.263507
