episode,num_iters,loss,sum_rewards,curr_eps,debug_param,time
244,1111,0.015371,-21,0.706046,3637190,48532.500731
245,1621,0.015782,-16,0.704441,3654529,48763.175635
246,1360,0.014136,-20,0.703095,3669662,48964.496642
247,1332,0.015736,-20,0.701776,3686557,49188.334395
248,1484,0.014972,-18,0.700307,3704804,49434.714901
249,1092,0.016720,-21,0.699226,3717550,49607.340518
250,1251,0.014653,-21,0.697988,3732227,49798.039424
251,1154,0.015420,-21,0.696845,3745489,49974.027804
252,1343,0.015736,-19,0.695516,3760089,50173.149299
253,1301,0.015167,-20,0.694228,3775161,50374.852164
254,1121,0.016382,-21,0.693118,3787194,50533.562315
255,1163,0.017143,-20,0.691966,3801003,50717.855350
256,1071,0.014855,-21,0.690906,3814369,50897.910429
257,1009,0.016242,-21,0.689907,3826196,51059.321907
258,1107,0.014920,-21,0.688811,3839061,51228.839759
259,1157,0.016069,-21,0.687666,3852174,51404.581555
260,1326,0.013729,-21,0.686353,3866821,51598.524827
261,1259,0.014985,-21,0.685107,3881500,51794.728938
262,1260,0.014544,-21,0.683859,3895765,51983.055588
263,1410,0.015772,-19,0.682463,3913072,52209.890799
264,1247,0.015787,-20,0.681229,3928467,52413.576889
265,1450,0.014563,-19,0.679793,3946636,52659.638350
266,1506,0.013941,-19,0.678302,3965394,52913.121117
267,1029,0.014566,-21,0.677284,3976711,53062.746131
268,1289,0.016205,-19,0.676008,3992948,53280.787971
269,1093,0.016411,-21,0.674926,4005791,53451.730682
270,1125,0.014940,-20,0.673812,4018814,53623.312983
271,1302,0.014812,-20,0.672523,4033973,53828.310670
272,1105,0.016428,-21,0.671429,4046859,53996.621810
273,1555,0.015229,-17,0.669889,4064944,54240.709173
274,1538,0.014385,-19,0.668367,4083500,54494.912579
275,1239,0.014638,-20,0.667140,4098114,54691.312373
276,1142,0.015351,-20,0.666010,4110892,54860.375125
277,1308,0.014185,-20,0.664715,4123749,55030.919144
278,1235,0.014862,-21,0.663492,4137082,55215.729601
279,1126,0.014781,-21,0.662377,4150385,55395.607633
280,1152,0.015351,-20,0.661237,4163853,55575.725075
281,1388,0.014765,-20,0.659863,4180738,55802.457672
282,1392,0.014921,-18,0.658485,4197355,56025.084756
283,1062,0.014039,-21,0.657433,4210277,56198.751746
284,1192,0.014322,-21,0.656253,4224093,56388.547561
285,1106,0.012523,-21,0.655158,4237253,56568.010577
286,1076,0.015416,-21,0.654093,4249502,56734.649204
287,1094,0.015091,-21,0.653010,4262097,56905.287950
288,1068,0.015605,-21,0.651953,4273953,57069.617460
289,1275,0.015744,-20,0.650690,4288967,57273.235421
290,1278,0.013466,-20,0.649425,4303950,57472.331717
291,1123,0.015509,-21,0.648313,4317200,57650.907593
292,1162,0.016220,-21,0.647163,4330092,57822.794934
293,1261,0.014516,-19,0.645915,4343647,58005.402825
294,1222,0.013754,-20,0.644705,4357138,58182.577733
295,1274,0.014260,-20,0.643444,4371079,58366.672661
296,1105,0.013472,-21,0.642350,4384107,58541.250333
297,1279,0.013637,-20,0.641083,4398060,58730.292434
298,1202,0.012893,-21,0.639893,4412818,58930.651667
299,1249,0.015382,-20,0.638657,4426975,59120.127104
300,1178,0.013856,-21,0.637491,4441589,59312.238025
301,1256,0.014408,-20,0.636247,4456523,59510.364563
302,1307,0.014112,-20,0.634953,4472288,59720.775082
303,1305,0.014472,-20,0.633661,4488257,59941.799963
